flavor,boundary,item,classification,mass_bin_low_GeV,mass_bin_high_GeV,n_mass_points,median_low_shift_pct,median_high_shift_pct,min_shift_pct,max_shift_pct,max_abs_shift_pct,n_missing_boundaries
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,1.7999999999999998,2.0999999999999996,9,9.906331199793783e-06,-9.906326348119165e-06,-1.1225381579826887e-05,1.12253875306223e-05,1.12253875306223e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,2.1,2.4,1,1.086124752358586e-05,-1.0861242039084118e-05,-1.0861242039084118e-05,1.086124752358586e-05,1.086124752358586e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,2.4,2.6999999999999997,2,1.1227341334407726e-05,-1.1227335572350228e-05,-1.1883956063662993e-05,1.1883962192094089e-05,1.1883962192094089e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,2.6999999999999997,2.9999999999999996,1,1.0920879556231e-05,-1.0920874071729259e-05,-1.0920874071729259e-05,1.0920879556231e-05,1.0920879556231e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,3.0,3.3,2,1.4587153618350612e-05,-1.4587145719113792e-05,-1.642461658901695e-05,1.6424625837174744e-05,1.6424625837174744e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,3.3,3.5999999999999996,1,1.9725929800706865e-05,-1.9725918143365107e-05,-1.9725918143365107e-05,1.9725929800706865e-05,1.9725929800706865e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,3.5999999999999996,3.8999999999999995,2,2.9643927879074994e-05,-2.9643907173415585e-05,-3.487238033894613e-05,3.48724062071426e-05,3.48724062071426e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,3.9,4.2,1,3.990245522889069e-05,-3.9902423554227795e-05,-3.9902423554227795e-05,3.990245522889069e-05,3.990245522889069e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,4.2,4.5,2,,,,,,4
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,4.5,4.8,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,4.8,5.1,2,,,,,,4
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,5.1,5.3999999999999995,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,5.3999999999999995,5.699999999999999,3,,,,,,6
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,5.7,6.0,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,6.0,6.3,2,,,,,,4
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,6.3,6.6,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,6.6,6.8999999999999995,2,,,,,,4
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,6.8999999999999995,7.199999999999999,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,7.199999999999999,7.499999999999999,2,,,,,,4
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,7.5,7.8,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,7.8,8.1,2,,,,,,4
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,8.4,8.700000000000001,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,9.0,9.3,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,9.299999999999999,9.6,1,,,,,,2
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,9.9,10.200000000000001,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,0.0,0.3,7,-0.012156215041181362,-0.012156215041181362,-0.01987506264824468,-0.00927585680493559,0.01987506264824468,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,0.3,0.6,17,-0.017814755974943086,-0.017814755974943086,-3.053640625395704,-0.008524394154152404,3.053640625395704,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,0.6,0.8999999999999999,12,-2.1158174795170073,-2.1158174795170073,-3.1725668358572823,-1.349583245980257,3.1725668358572823,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,0.8999999999999999,1.2,12,-1.7403608046294816,-1.7403608046294816,-2.38921835631124,-1.3762446350123136,2.38921835631124,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,1.2,1.5,12,-1.7620597478366362,-1.7620597478366362,-3.552590908579112,-1.314028326118044,3.552590908579112,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,1.5,1.8,12,-2.6954791391262,-2.6954791391262,-4.441477334388944,-1.262334208310778,4.441477334388944,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,1.7999999999999998,2.0999999999999996,9,-8.101732953471286,-8.101732953471286,-12.412045756137402,-3.812153324158518,12.412045756137402,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,2.1,2.4,1,-9.16651133149957,-9.16651133149957,-9.16651133149957,-9.16651133149957,9.16651133149957,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,2.4,2.6999999999999997,2,-10.191524383497663,-10.191524383497663,-11.172997866210377,-9.21005090078495,11.172997866210377,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,2.6999999999999997,2.9999999999999996,1,-9.905850354920332,-9.905850354920332,-9.905850354920332,-9.905850354920332,9.905850354920332,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,3.0,3.3,2,-2.978049646462261,-2.978049646462261,-5.532774768018567,-0.42332452490595474,5.532774768018567,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,3.3,3.5999999999999996,1,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,3.5999999999999996,3.8999999999999995,2,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,3.9,4.2,1,0.0,0.0,0.0,0.0,0.0,0
