event,	id,	pt,	eta,	phi,	momentum,	mass
239,	9900015,	8.49833,	3.42475,	0.0649786,	130.652,	15
240,	9900015,	40.6721,	3.50344,	-1.8063,	676.37,	15
240,	9900015,	40.6721,	3.50344,	-1.8063,	676.37,	15
241,	9900015,	22.9537,	1.46455,	-0.294722,	52.2976,	15
242,	-9900015,	32.4684,	1.84526,	0.84644,	105.323,	15
242,	-9900015,	32.4682,	1.84526,	0.84644,	105.323,	15
243,	9900015,	20.2012,	-5.07299,	-2.11875,	1612.63,	15
244,	-9900015,	11.934,	-1.90919,	-0.330246,	41.1474,	15
245,	-9900015,	10.427,	-0.914921,	2.12966,	15.1042,	15
246,	-9900015,	44.2998,	3.24481,	3.03424,	569.162,	15
247,	9900015,	37.0957,	2.57289,	3.09708,	244.46,	15
248,	-9900015,	57.8869,	0.291472,	-0.632032,	60.3632,	15
