event,weight,id,parent_id,pt,eta,phi,momentum,mass,decay_x_m,decay_y_m,decay_z_m,L_xyz_m,L_xy_m
207,1,-9900015,-521,6.61916,-3.55357,0.463673,115.725,3.6,0.64333,0.32174,-12.5551,12.558,0.718285
208,1,-9900015,-521,9.97109,2.9435,0.892569,94.8989,3.6,2.801,3.47635,42.2537,42.4781,4.4632
209,1,9900015,521,8.9887,-3.69152,-0.142073,180.361,3.6,6.455,-0.923238,-130.671,130.791,6.51827
211,1,9900015,521,11.5521,-0.0195483,-0.536465,11.5543,3.6,3.89754,-2.31777,-0.0884627,4.53357,4.5327
211,1,-9900015,-521,16.7762,-1.43209,1.63587,37.1278,3.6,-0.100024,1.53629,-3.03962,3.40441,1.53828
212,1,9900015,521,7.16091,-2.10389,-1.63222,29.7894,3.6,-0.120005,-1.95559,-7.91185,8.14467,1.95785
213,1,-9900015,-521,12.681,3.03994,1.10038,132.846,3.6,2.57836,5.07066,59.3209,59.5823,5.68753
214,1,-9900015,-521,10.721,-2.30476,0.401078,54.2567,3.6,0.37029,0.157075,-1.99546,2.03372,0.40186
215,1,9900015,521,16.1919,-1.26326,0.700351,30.9239,3.6,0.173554,0.14628,-0.369278,0.432412,0.226413
217,1,9900015,521,5.98103,0.646616,1.94696,7.27559,3.6,-0.148358,0.375337,0.279551,0.489711,0.402577
218,1,9900015,521,3.54012,0.319602,1.64768,3.72247,3.6,-0.0267533,0.347464,0.113286,0.366403,0.348454
219,1,-9900015,-521,14.6068,0.530494,-2.74674,16.7108,3.6,-0.226561,-0.0942525,0.136192,0.277803,0.242825
219,1,9900015,521,7.06426,1.16661,-0.76229,12.4419,3.6,1.15147,-1.09944,2.30813,2.80353,1.59178
220,1,9900015,521,7.78178,-4.64338,2.52069,404.281,3.6,-4.67257,3.34212,-298.43,298.309,5.74197
220,1,-9900015,-521,6.33546,-4.74243,-0.698846,363.408,3.6,1.55068,-1.30311,-116.16,116.144,2.0248
221,1,-9900015,-521,10.1364,-1.60906,-0.67142,26.3455,3.6,0.912536,-0.725006,-2.79597,3.02766,1.16489
221,1,9900015,521,8.37021,-2.04035,2.94582,32.7414,3.6,-1.01683,0.201684,-3.92005,4.05349,1.03626
222,1,-9900015,-521,5.10477,0.735519,-0.223087,6.54897,3.6,1.28337,-0.291152,1.05759,1.68825,1.31595
