# PastExclusion HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLimits Utau4 single-flavor compilation
# kind: envelope
# mass_GeV  u2
0.156836571  0.0001524761624
0.15776706  0.0001524761624
0.157771965  0.0001524761624
0.159848466  0.0001457034224
0.162918201  0.0001392315164
0.163321451  0.0001384389927
0.166046888  0.0001333395528
0.167902264  0.0001321404019
0.169235658  0.0001301177474
0.172485665  0.0001269737885
0.17289838  0.0001269737885
0.175448369  0.0001269737885
0.175798085  0.0001239057953
0.177037539  0.0001239057953
0.179174118  0.0001209119322
0.179795918  0.000120783426
0.181903699  0.000120783426
0.182614983  0.0001185775494
0.186121927  0.0001163144745
0.18755102  0.0001163144745
0.189696219  9.847383231e-05
0.189795918  9.847383231e-05
0.189853161  9.847383231e-05
0.193339152  9.524484513e-05
0.193469388  9.524484513e-05
0.196734694  9.524484513e-05
0.197052043  9.212173744e-05
0.199588227  9.000175243e-05
0.2  9.000175243e-05
0.200836237  8.910103741e-05
0.202962588  8.910103741e-05
0.203673469  8.7017645e-05
0.204693103  8.617938705e-05
0.208624036  8.331752982e-05
0.211413744  8.331752982e-05
0.212630459  8.062035041e-05
0.215520249  8.051232715e-05
0.216713821  7.797678439e-05
0.220875601  7.51882316e-05
0.22093006  7.51882316e-05
0.225117303  7.11949821e-05
0.225289581  7.11949821e-05
0.229440463  6.741381422e-05
0.23041101  6.741381422e-05
0.233846645  6.383346429e-05
0.234188034  6.383346429e-05
0.235034194  6.383346429e-05
0.236074617  6.24587999e-05
0.238337444  6.035546948e-05
0.24058366  5.999707419e-05
0.242268842  5.999707419e-05
0.242914484  5.70119457e-05
0.247178199  5.421237482e-05
0.247579422  5.385364377e-05
0.249465297  5.315153693e-05
0.251879669  5.315153693e-05
0.252333946  5.087030291e-05
0.252836053  5.087030291e-05
0.256716358  5.038868981e-05
0.257179775  4.805223077e-05
0.261538462  4.795461693e-05
0.262118664  4.539027192e-05
0.263269292  4.499951697e-05
0.267152399  4.287577813e-05
0.268001966  4.256718801e-05
0.272282803  4.050058025e-05
0.272467669  4.050058025e-05
0.277511731  3.825696166e-05
0.278313736  3.825696166e-05
0.282051282  3.728318927e-05
0.282841075  3.613763326e-05
0.283523814  3.593988851e-05
0.287078284  3.593988851e-05
0.287359193  3.593988851e-05
0.288272765  3.413570971e-05
0.289795918  3.413570971e-05
0.293808765  3.22446871e-05
0.296348096  3.22446871e-05
0.299451078  3.045842185e-05
0.3  3.045842185e-05
0.305201746  2.877570247e-05
0.311062851  2.718675963e-05
0.317036512  2.568555538e-05
0.317988984  2.568555538e-05
0.321833722  2.568555538e-05
0.323124892  2.426724494e-05
0.324493064  2.426724494e-05
0.329330193  2.292725107e-05
0.334887335  2.292725107e-05
0.335654661  2.165506478e-05
0.342100584  2.046515381e-05
0.348670295  1.933510461e-05
0.355366171  1.82674547e-05
0.355400155  1.82674547e-05
0.3591539  1.82674547e-05
0.359153902  1.82674547e-05
0.359883297  1.82674547e-05
0.361626934  1.82674547e-05
0.362190635  1.725875852e-05
0.369146156  1.630576073e-05
0.374048174  1.630576073e-05
0.376235251  1.540538578e-05
0.383223924  1.505636136e-05
0.383460485  1.455472793e-05
