event,	id,	pt,	eta,	phi,	momentum,	mass
11129,	6000113,	48.1004,	-3.88474,	2.44337,	1170.64,	15
11129,	-6000113,	53.9867,	-2.43942,	-0.706111,	311.871,	15
11130,	6000113,	169.198,	0.377889,	1.09171,	181.423,	15
11130,	-6000113,	120.132,	-0.455907,	1.30436,	132.835,	15
11131,	6000113,	42.5642,	3.20701,	-2.03863,	526.635,	15
11131,	-6000113,	46.2689,	1.34964,	1.34203,	95.2064,	15
11132,	6000113,	68.4121,	-0.187209,	2.65859,	69.6145,	15
11132,	-6000113,	41.9111,	-1.81112,	-0.338841,	131.616,	15
11133,	6000113,	46.9067,	-0.293945,	-0.252183,	48.9477,	15
11133,	-6000113,	70.8383,	-1.09545,	-2.84417,	117.766,	15
11134,	6000113,	38.1068,	0.682865,	1.21661,	47.3421,	15
11134,	-6000113,	48.5161,	2.37141,	-2.06618,	262.128,	15
11135,	6000113,	42.7608,	0.0509754,	-1.06505,	42.8164,	15
11135,	-6000113,	38.3259,	1.9668,	1.80297,	139.654,	15
11136,	6000113,	59.236,	3.62058,	0.329529,	1107.29,	15
11136,	-6000113,	14.2314,	0.994711,	-2.77952,	21.8721,	15
11137,	6000113,	134.085,	-1.31734,	0.575168,	268.258,	15
11137,	-6000113,	67.5659,	-2.1928,	-0.399464,	306.476,	15
11138,	6000113,	68.9218,	-0.616374,	2.02506,	82.4339,	15
11138,	-6000113,	21.0771,	1.8529,	-0.48658,	68.8701,	15
11139,	6000113,	67.1367,	-1.98861,	-0.428811,	249.825,	15
11139,	-6000113,	25.2909,	0.110125,	-2.48604,	25.4445,	15
11140,	6000113,	82.3775,	1.76916,	-2.32157,	248.633,	15
11140,	-6000113,	45.5166,	1.37531,	1.36341,	95.7909,	15
11141,	6000113,	41.7531,	-0.73647,	1.58553,	53.5974,	15
11141,	-6000113,	50.7656,	0.977659,	-2.44258,	77.022,	15
11142,	6000113,	41.9331,	-2.3569,	-1.84045,	223.354,	15
11142,	-6000113,	74.3106,	-0.803034,	0.977595,	99.5862,	15
11143,	6000113,	55.0616,	-1.93202,	2.62067,	194.045,	15
11143,	-6000113,	76.4866,	-1.821,	-0.382823,	242.459,	15
11144,	6000113,	162.53,	-3.05182,	2.27905,	1722.9,	15
11144,	-6000113,	171.074,	-2.31808,	2.37664,	877.154,	15
