u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator
5.3869495885355365e-08,0.055298249984372015,False,False,8967103.960960923,0.0003696912707195032,True,0.8,Ue,762956,5683,5683,100,exact
5.120114319171736e-08,0.045091189911562427,False,False,7708522.290017739,0.00032550885998350565,True,0.825,Ue,762956,5720,5720,100,exact
4.615615388735882e-08,0.03607438055378269,False,False,6061861.1092055375,0.0002866067616948256,True,0.85,Ue,762956,5862,5862,100,exact
4.337112013819621e-08,0.02961075346176276,False,False,5446159.833652311,0.00022219468609395283,True,0.875,Ue,762956,5695,5695,100,exact
3.934632867072725e-08,0.024219171691785703,False,False,4666200.68881657,0.0001956398343517065,True,0.9,Ue,762956,5800,5800,100,exact
3.5676633326344035e-08,0.020134002543430566,False,False,4177217.484493922,0.0001722585965398791,True,0.925,Ue,762956,5760,5760,100,exact
3.47927917732278e-08,0.016633138832654323,False,False,3254881.016105995,0.0001516716888470924,True,0.95,Ue,762956,5822,5822,100,exact
3.2474931238386536e-08,0.01398929076108942,False,False,3090024.639387339,0.0001335451562929903,True,0.975,Ue,762956,5729,5729,100,exact
2.9600225258230593e-08,0.011264418162850991,False,False,2347911.9534377377,0.00010353218432956616,True,1.0,Ue,762956,5624,5624,100,exact
2.702881831943938e-08,0.009722226999598767,False,False,1850324.5412513388,9.115888299750837e-05,True,1.025,Ue,762956,5760,5760,100,exact
2.4259219491202336e-08,0.008378438075436291,False,False,1926397.0260178363,7.067181273927507e-05,True,1.05,Ue,762956,5738,5738,100,exact
2.4232423738214543e-08,0.007138500883233518,False,False,1498068.9008300027,7.067181273927507e-05,True,1.075,Ue,762956,5761,5761,100,exact
2.3296068267152938e-08,0.00608095969722557,False,False,1251430.9358569318,6.222570836730231e-05,True,1.1,Ue,762956,5730,5730,100,exact
2.0947040733335045e-08,0.005284640056648337,False,False,1262717.699952896,5.478901179593945e-05,True,1.125,Ue,762956,5749,5749,100,exact
2.0069013069734254e-08,0.0045892781456818455,False,False,1062620.736729869,4.2475715525369026e-05,True,1.15,Ue,762956,5599,5599,100,exact
2.0098231387836488e-08,0.004004435008553358,False,False,921284.3255625329,4.2475715525369026e-05,True,1.175,Ue,762956,5625,5625,100,exact
1.853307391847815e-08,0.003489792889665471,False,False,865840.0388996996,3.739937302478802e-05,True,1.2,Ue,762956,5556,5556,100,exact
1.6955255071357044e-08,0.003054246932709857,False,False,800617.2968714609,3.292971255097155e-05,True,1.225,Ue,762956,5602,5602,100,exact
1.651750395846889e-08,0.002648254878446593,False,False,601750.3321743975,2.8994228538828813e-05,True,1.25,Ue,762956,5555,5555,100,exact
1.6654141666999132e-08,0.0023341190220835415,False,False,521436.8453054827,2.8994228538828813e-05,True,1.275,Ue,762956,5579,5579,100,exact
1.5906749148000208e-08,0.002057043190148775,False,False,456262.4066958697,2.24780583354873e-05,True,1.3,Ue,762956,5488,5488,100,exact
1.5621540584028808e-08,0.0018703524202618954,False,False,394525.09262488567,2.24780583354873e-05,True,1.325,Ue,762956,5542,5542,100,exact
1.387687510369183e-08,0.0016186689977107367,False,False,393362.208241193,1.9791668678535575e-05,True,1.35,Ue,762956,5589,5589,100,exact
1.4883731315863051e-08,0.001430486472893221,False,False,334685.5947434721,1.9791668678535575e-05,True,1.375,Ue,762956,5663,5663,100,exact
1.423654072154142e-08,0.0012626086492447664,False,False,262893.1070338288,1.742633386009651e-05,True,1.4,Ue,762956,5644,5644,100,exact
1.3869261395672572e-08,0.0011123865020967517,False,False,243074.42767679246,1.5343684089300132e-05,True,1.425,Ue,762956,5343,5343,100,exact
1.2785454253209788e-08,0.0011076672297992685,False,False,212872.8932532837,1.3509935211980278e-05,True,1.45,Ue,762956,5597,5597,100,exact
1.3491348469514666e-08,0.0008791779920131557,False,False,170807.30095823083,1.1895340673703208e-05,True,1.475,Ue,762956,5521,5521,100,exact
1.2385858908410546e-08,0.0007830560640029104,False,False,163187.76422608265,1.0473708979594508e-05,True,1.5,Ue,762956,5448,5448,100,exact
1.3363302741914253e-08,0.0006994762650487944,False,False,124517.9215624025,1.0473708979594508e-05,True,1.525,Ue,762956,5399,5399,100,exact
1.2589785705098311e-08,0.0006430503586038173,False,False,108885.09762476843,9.221978823334342e-06,True,1.55,Ue,762956,5473,5473,100,exact
1.2755224078340065e-08,0.0005805014175071505,False,False,95941.29915811386,9.221978823334342e-06,True,1.575,Ue,762956,5570,5570,100,exact
