# Job started on: Sat Feb 21 16:27:05 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Sat Feb 21 16:27:23 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   1.5152    1.4848 2.7925e+08
   1.5152    1.5455 2.7857e+08
   1.5152    1.6061 2.7784e+08
   1.5152    1.6667 2.7709e+08
   1.5152    1.7273 2.7630e+08
   1.5152    1.7879 2.7547e+08
   1.5152    1.8485 2.7461e+08
   1.5152    1.9091 2.7371e+08
   1.5152    1.9697 2.7278e+08
   1.5152    2.0303 2.7180e+08
   1.5152    2.0909 2.7079e+08
   1.5152    2.1515 2.6973e+08
   1.5152    2.2121 2.6863e+08
   1.5152    2.2727 2.6749e+08
   1.5152    2.3333 2.6630e+08
   1.5152    2.3939 2.6507e+08
   1.5152    2.4545 2.6380e+08
   1.5152    2.5152 2.6247e+08
   1.5152    2.5758 2.6110e+08
   1.5152    2.6364 2.5968e+08
   1.5152    2.6970 2.5820e+08
   1.5152    2.7576 2.5668e+08
   1.5152    2.8182 2.5510e+08
   1.5152    2.8788 2.5346e+08
   1.5152    2.9394 2.5177e+08
   1.5152    3.0000 2.5002e+08
   2.0202   -3.0000 2.0068e+08
   2.0202   -2.9394 2.0257e+08
   2.0202   -2.8788 2.0440e+08
   2.0202   -2.8182 2.0619e+08
   2.0202   -2.7576 2.0792e+08
   2.0202   -2.6970 2.0961e+08
   2.0202   -2.6364 2.1124e+08
   2.0202   -2.5758 2.1283e+08
   2.0202   -2.5152 2.1437e+08
   2.0202   -2.4545 2.1586e+08
   2.0202   -2.3939 2.1730e+08
   2.0202   -2.3333 2.1870e+08
   2.0202   -2.2727 2.2006e+08
   2.0202   -2.2121 2.2136e+08
   2.0202   -2.1515 2.2263e+08
   2.0202   -2.0909 2.2385e+08
   2.0202   -2.0303 2.2503e+08
   2.0202   -1.9697 2.2617e+08
   2.0202   -1.9091 2.2726e+08
   2.0202   -1.8485 2.2832e+08
   2.0202   -1.7879 2.2934e+08
   2.0202   -1.7273 2.3032e+08
   2.0202   -1.6667 2.3126e+08
   2.0202   -1.6061 2.3216e+08
   2.0202   -1.5455 2.3302e+08
   2.0202   -1.4848 2.3385e+08
   2.0202   -1.4242 2.3464e+08
   2.0202   -1.3636 2.3540e+08
   2.0202   -1.3030 2.3612e+08
   2.0202   -1.2424 2.3680e+08
   2.0202   -1.1818 2.3746e+08
   2.0202   -1.1212 2.3807e+08
   2.0202   -1.0606 2.3866e+08
   2.0202   -1.0000 2.3921e+08
   2.0202   -0.9394 2.3972e+08
   2.0202   -0.8788 2.4021e+08
