mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
1.49,1199988,12761,True,19.432555873482006,3.977573936531059e-08,1.3846840369397919e-08,9.974589674699991e-08,False,False,23280.344663261254,2304.6096314411266,0.0015948045085254071,21211.38938058971,1877.2044825167943,0.0020492910446830654,5176.755076891876,529.5282181818011,0.011440923545727542,
1.5,1199988,12495,True,18.207861045254045,3.912343517998322e-08,1.3858052397106113e-08,9.736569630182004e-08,False,False,22509.279083434703,2177.4278285905107,0.0017847283477631522,19578.54316196169,1747.1030104252686,0.0022495179548691537,5442.0207596848695,544.0390088052437,0.009016128920552044,
1.51,1199988,12443,True,18.447016915132263,3.899527360294702e-08,1.3740021867125564e-08,9.570062545675305e-08,False,False,23550.905006875928,2282.8175870272376,0.0014717239554794496,19958.84206255381,1787.469675456402,0.002248796138041497,4827.083270923742,488.9363619726851,0.011737487590834528,
1.52,1199988,12537,True,17.915546245045228,3.8098014890702657e-08,1.3689456959948023e-08,9.512935584807835e-08,False,False,23652.239831082785,2304.757268214307,0.0018431078912756148,20758.349507876428,1840.7621649410137,0.0018846959913190213,5239.81440225848,516.3000659562707,0.010694966084674204,
1.53,1199988,12706,True,17.83790917188348,3.819200034406676e-08,1.3705217535582106e-08,9.242248664764507e-08,False,False,23577.868603502826,2271.938788555503,0.0017986148877643998,20728.15919433137,1828.2822616698086,0.002490583448273842,5804.27942403237,567.1513210129776,0.008936822448489385,
1.54,1199988,12374,True,16.70255262808483,3.631887987118251e-08,1.350505092057556e-08,8.833244388756401e-08,False,False,23631.71924012651,2254.342119635775,0.0016314594402979073,21657.7019642,1892.0935887067244,0.0021077847515046356,5707.977490418432,545.0524957255707,0.010011236106959137,
1.55,1199988,12645,True,16.57322169813311,3.6963941839839914e-08,1.3552055203511829e-08,8.870748830390065e-08,False,False,24585.590883208773,2276.435396057505,0.0016643796391711135,21552.668825177636,1852.4319623781623,0.002005683786027472,6393.193304871466,622.299765179309,0.007600678932665362,
1.56,1199988,12629,True,16.456778081844682,3.692614184988312e-08,1.360692126428641e-08,8.814290660419564e-08,False,False,23670.197121751105,2254.4209963966164,0.0016675736334991493,20387.202214806584,1802.521471215429,0.0019237126991208167,5765.752752867082,575.896771184226,0.007912656494001207,
1.57,1199988,12633,True,16.18696110834908,3.6295728494597787e-08,1.3522505846963465e-08,8.518705100437988e-08,False,False,25032.868628564156,2253.6773323274488,0.001832698469442379,21264.687148401474,1722.6734156563014,0.002031505245720061,5934.463514273115,543.5392958138265,0.009173527146538261,
1.58,1199988,12696,True,16.1833918443033,3.6265780602132076e-08,1.3449318605700091e-08,8.727937762139849e-08,False,False,25945.456150263446,2296.318966247947,0.0017019070319765914,21747.248219030513,1781.8214779711295,0.002230282112845336,5719.997695572064,532.3425380526074,0.008598313562776681,
