variation,axis,mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,exclusion_reason,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction
scale_muR0p5_muF0p5,scale,0.94,599994,5796,True,810.9515317022482,2.443204762186487e-07,2.8592646999774544e-08,1.1228941257444992e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.96,0,0,False,,,,,False,False,unsupported eta-prime resonance,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.98,599994,5711,True,245.91632033209325,1.4033215376054846e-07,2.3410753130253617e-08,6.485478677630493e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.0,599994,5637,True,351.8676612111249,1.6882033167003626e-07,2.5239173192174813e-08,6.889030232530687e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.05,599994,5539,True,222.6119798851037,1.4033215376054846e-07,2.3949218856391597e-08,6.177472604625342e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.1,599994,5627,True,98.36202853950996,9.69665789314552e-08,1.9885362133886116e-08,3.237118903744722e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.15,599994,5704,True,38.74979350241573,5.9234571458758066e-08,1.6361626444041347e-08,1.987479202551678e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.2,599994,5511,True,14.156941232347078,3.6184987596427426e-08,1.3849925445249752e-08,8.747089913723074e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.25,599994,5401,True,3.040869069612502,1.6244350109588655e-08,1.5209871508047652e-08,1.775467444246604e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.3,599994,5375,False,0.5185067763898995,6.856782936641738e-09,,,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.35,599994,5567,False,1.624672393917425,1.1937766417144358e-08,,,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.4,599994,5407,True,3.0493761232053616,1.6244350109588655e-08,1.518612883933608e-08,1.8093229005872697e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.45,599994,5485,False,1.3528111020659277,1.1224505680853058e-08,,,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.5,599994,5417,True,4.550318004731266,1.9542040079740516e-08,1.2601324422425357e-08,3.1011020042073965e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.55,599994,5375,True,6.224543770028904,2.3509178754572845e-08,1.2612819373195653e-08,4.1743133445969264e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.6,599994,5347,True,6.672619343778601,2.5003068519063217e-08,1.2701895565092725e-08,4.5341088919327544e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.65,599994,5211,True,7.702309872286912,2.6591887445126912e-08,1.2946111626071538e-08,5.106412811660354e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.7,599994,5247,True,8.047197976819653,2.6591887445126912e-08,1.2933765847045813e-08,5.2806763936567134e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.75,599994,5210,True,9.160327917450076,2.8281667802300298e-08,1.29847833142346e-08,5.6840246756424004e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.8,599994,5168,True,10.808362636641972,3.0078825180430956e-08,1.3198117533909711e-08,6.598986872016595e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.85,599994,5176,True,12.408089426759254,3.199018284775061e-08,1.3438325051876298e-08,7.078989549313234e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.9,599994,5023,True,14.91281943221823,3.6184987596427426e-08,1.3955942041389533e-08,8.383881911753002e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,1.95,599994,5125,True,18.22458604283104,4.092984818452434e-08,1.4290635410246773e-08,9.887064848172261e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.0,599994,4900,True,21.274508290713097,4.3530733647318836e-08,1.4843757932786484e-08,1.0843471501147017e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.05,599994,5122,True,21.98725542003976,4.3530733647318836e-08,1.47259917054276e-08,1.0555308685289056e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.1,599994,4879,True,21.382681991851445,4.3530733647318836e-08,1.507921299237928e-08,1.0695876551289788e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.15,599994,5105,True,23.113819966436164,4.3530733647318836e-08,1.4909395631201628e-08,1.0887117085806693e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.2,599994,4884,True,22.340399984454244,4.6296892266272595e-08,1.5311422879895066e-08,1.1334521938020693e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.25,599994,4841,True,20.32809192381842,4.3530733647318836e-08,1.5599434879266444e-08,1.0984461398186521e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.3,599994,4787,True,20.141868957056655,4.3530733647318836e-08,1.5388190847448294e-08,1.0832199001226473e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.35,599994,4873,True,20.59389606151956,4.3530733647318836e-08,1.5389767517000955e-08,1.072992534517271e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.4,599994,4770,True,18.44041306847151,4.3530733647318836e-08,1.5660752383632863e-08,1.055750074607149e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.45,599994,4885,True,19.567494949528076,4.3530733647318836e-08,1.5525879152598502e-08,1.0668458082700645e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.5,599994,4793,True,19.89809010539251,4.3530733647318836e-08,1.572870007410482e-08,1.0625098046724829e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.55,599994,4858,True,20.44146367568935,4.6296892266272595e-08,1.6018163079523874e-08,1.1200316431700481e-07,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.6,599994,4728,True,14.530819321449838,3.8484361094874256e-08,1.551282346146984e-08,8.543952095470393e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.65,599994,4603,True,12.012392688402452,3.6184987596427426e-08,1.5298020915689175e-08,7.574426499969192e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.7,599994,4828,True,11.060629686149202,3.402299765678064e-08,1.4898237896056205e-08,7.204584142902425e-08,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,2.75,599994,4700,True,9.511106546471272,3.402299765678064e-08,1.4954896661370645e-08,6.74364137424367e-08,False,False,,,,,,,,,,
