flavor,mass_GeV,has_sensitivity,u2_min_central,u2_min_open,u2_min_n_members_expected,u2_min_n_members_sensitive,u2_min_n_members_finite,u2_min_n_members_open,u2_min_topology_changed,u2_min_band_lo,u2_min_band_hi,u2_min_scale_up_dex,u2_min_scale_dn_dex,u2_min_pdf_sigma_dex,u2_min_mass_dev_dex,u2_max_central,u2_max_open,u2_max_n_members_expected,u2_max_n_members_sensitive,u2_max_n_members_finite,u2_max_n_members_open,u2_max_topology_changed,u2_max_band_lo,u2_max_band_hi,u2_max_scale_up_dex,u2_max_scale_dn_dex,u2_max_pdf_sigma_dex,u2_max_mass_dev_dex
Umu,2.2,True,2.3796264211194055e-08,False,110,110,110,0,False,2.0194552320183823e-08,3.257112062739442e-08,0.1326629137112061,0.06399452840969921,0.011139333088565002,0.029337303739247034,5.392321463550063e-05,False,110,110,110,0,False,5.3539168934166234e-05,5.431828413647644e-05,0.0012657952047128163,0.0010896708311252112,0.0014797589809313308,0.0025017340859294634
Umu,2.4,True,2.4882427286908096e-08,False,110,110,110,0,False,2.0785596606077705e-08,3.4211444391456e-08,0.13136595354605607,0.06511804604726912,0.012069964944081486,0.0414522840175815,2.8123444832074335e-05,False,110,110,110,0,False,2.7668637815275774e-05,2.8931983241459464e-05,0.010069338992271248,0.0,0.0048585035183387505,0.005150901937351904
Umu,2.6,True,3.19699637396984e-08,False,110,110,110,0,False,2.5507159771775945e-08,4.138592830049131e-08,0.10835257029597933,0.09376138280641388,0.012591433668566656,0.025883457486541417,1.511476900638598e-05,False,110,110,110,0,False,1.4990697148637411e-05,1.529642224000677e-05,0.003817115434364915,0.0006823076622772817,0.003063423302530727,0.0017216363432028814
Umu,2.8,True,4.6037916495564995e-08,False,110,110,110,0,False,3.6841424724953756e-08,5.762341056988636e-08,0.0846629228440694,0.08385129151557802,0.014773887289572097,0.046009947224779246,8.366358998715896e-06,False,110,110,110,0,False,8.210837065791398e-06,8.555823028787087e-06,0.005887594813980712,0.002547466601549253,0.0051617504666556435,0.005768358257173034
Umu,3.0,True,7.073532822386251e-08,False,110,110,110,0,False,5.832267437661369e-08,9.390147907098228e-08,0.11828503341331498,0.07665337497377589,0.0128451092494367,0.03132931675230033,4.637775577946099e-06,False,110,110,110,0,False,4.593693223497873e-06,4.718173331648458e-06,0.006509664318679498,0.00196615447330295,0.0030738572190552385,0.0019721536879790946
Umu,3.2,True,9.99596125022745e-08,False,110,110,110,0,False,8.022821794003813e-08,1.3330660944856732e-07,0.11629320443443358,0.08373819848020059,0.02092655575462282,0.04086257801446891,2.59951014221428e-06,False,110,110,110,0,False,2.547309388796359e-06,2.6298140842982683e-06,0.0016200040874485566,0.007409514696721686,0.003231015684231142,0.003503220837145271
Umu,3.4,True,1.395722859344063e-07,False,110,110,110,0,False,9.494961452638062e-08,1.8523081436940125e-07,0.10984463723851956,0.15795339428577648,0.028106476206504197,0.047455705979452034,1.3816890938294962e-06,False,110,110,110,0,False,1.3445242700897664e-06,1.4466442315650454e-06,0.016057188333998162,0.0,0.004866774466763081,0.010795368143065254
Umu,3.6,True,2.576220158493886e-07,False,110,110,110,0,False,2.103924899309977e-07,3.239869355450938e-07,0.07273717309992289,0.05583250604880341,0.03220799582368677,0.0598419659373457,7.00252707654953e-07,False,110,110,110,0,False,6.681363913171368e-07,7.327926872683434e-07,0.006820840474011547,0.008551865389495816,0.011028735728721279,0.01486510064943225
Utau,0.305,True,1.0946759017273852e-05,False,110,110,110,0,False,8.136385626465544e-06,1.7267449848399974e-05,0.1955592839725364,0.12516191333915838,0.020501009749167565,0.02275007788717479,,True,110,110,0,110,False,,,,,,
Utau,0.5,True,3.095446029334271e-06,False,110,110,110,0,False,2.3360450371252664e-06,4.855519717383294e-06,0.19023157795196521,0.11360472614789341,0.021483257306966697,0.03969317953880211,,True,110,110,0,110,False,,,,,,
