u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,u2_max_dm_lo,u2_min_dm_lo,u2_max_dm_hi,u2_min_dm_hi,width_delta,had_frac,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator,event_chunk,seed_salt
1.3299313863240384e-08,0.0005260056042214169,False,False,80721.57880459932,8.119844993184025e-06,True,0.0004438882879616244,1.2378381077630006e-08,0.0006441653022110723,1.4529332234911926e-08,0.1625,0.6654952004981148,1.6,Umu,762956,5568,5568,50,exact,1000,
1.730482302365348e-08,0.0002307542737689596,False,False,13516.835339425119,4.297004704320844e-06,True,0.00018679524327030122,1.5961656881837737e-08,0.0002995539102769793,1.9127040642725443e-08,0.2,0.664101273324498,1.8,Umu,499999,3980,3980,50,exact,1000,
2.3651372959775875e-08,0.00010930535842092784,False,False,2563.7539394550063,2.58261876068268e-06,True,8.794511552602611e-05,2.1705809532901688e-08,0.0001423221718085112,2.6198787828708442e-08,0.2,0.6653931475851534,2.0,Umu,399999,3107,3107,50,exact,1000,
2.5547673041064723e-08,5.395090926356424e-05,False,False,818.3377959841365,1.762914118095948e-06,True,4.29601684074532e-05,2.3867699979538803e-08,7.085772554722816e-05,2.766252942474644e-08,0.2,0.6685944199011787,2.2,Umu,399999,3102,3102,50,exact,1000,
2.5670700637497297e-08,2.812631608367185e-05,False,False,297.0609901627583,9.329304026284696e-07,True,2.2200007890320932e-05,2.399292929250592e-08,3.721800858729043e-05,2.7765894454411667e-08,0.2,0.6726393433087031,2.4,Umu,399999,3015,3015,50,exact,1000,
3.142376732352155e-08,1.5112659312483395e-05,False,False,97.28948343802058,6.368249944718587e-07,True,1.183115152690725e-05,2.9563946690789497e-08,2.0304752585452027e-05,3.3973253459453945e-08,0.2,0.6767177743087064,2.6,Umu,399999,2979,2979,50,exact,1000,
4.394753985995707e-08,8.344779939931487e-06,False,False,28.960280355888955,4.3470131581250264e-07,True,6.465314436908405e-06,4.172119295775449e-08,1.1339329690833725e-05,4.6574748903472345e-08,0.2,0.6804287349825517,2.8,Umu,399999,2953,2953,50,exact,1000,
7.606840966236832e-08,4.64962040262491e-06,False,False,9.847722245206498,1.2033778407775905e-06,True,3.5170763941001908e-06,7.601599588712019e-08,6.4545149779483095e-06,7.712727795565436e-08,0.2,0.6836554260734233,3.0,Umu,399999,2912,2912,50,exact,1000,
1.123107143476025e-07,2.5567849683571467e-06,False,False,6.390074934466465,9.329304026284696e-07,True,1.8587438793869544e-06,1.2808319050982375e-07,3.6687755801852235e-06,1.0348287876650605e-07,0.2,0.6863940189885345,3.2,Umu,399999,2998,2998,50,exact,1000,
1.4279708154117208e-07,1.4042045974917122e-06,False,False,4.4741588549174045,6.368249944718587e-07,True,9.291654959905535e-07,2.397556928222354e-07,2.1258232786533114e-06,1.0972393816196719e-07,0.2,0.688686639843585,3.4,Umu,299999,2303,2303,50,exact,1000,
