flavor,mass_GeV,boundary,u2,channel,N,frac
Ue,3.6,u2_min,3.2362946319937626e-07,Bc,0.26606475176172467,0.08901757864825728
Ue,3.6,u2_min,3.2362946319937626e-07,WZ,2.3573206759358896,0.7886913891442928
Ue,3.6,peak_u2,4.347013158125027e-07,Kmeson,0.0,0.0
Ue,3.6,peak_u2,4.347013158125027e-07,Dmeson,0.0,0.0
Ue,3.6,peak_u2,4.347013158125027e-07,tau,0.0,0.0
Ue,3.6,peak_u2,4.347013158125027e-07,induced_tau,0.0,0.0
Ue,3.6,peak_u2,4.347013158125027e-07,Bmeson,0.22928600786552342,0.07308308344380438
Ue,3.6,peak_u2,4.347013158125027e-07,Bbaryon,0.0,0.0
Ue,3.6,peak_u2,4.347013158125027e-07,Bc,0.1644511439425948,0.05241748847681392
Ue,3.6,peak_u2,4.347013158125027e-07,WZ,2.743596374107326,0.8744994280793816
Ue,3.6,u2_max,6.131522619940638e-07,Kmeson,0.0,0.0
Ue,3.6,u2_max,6.131522619940638e-07,Dmeson,0.0,0.0
Ue,3.6,u2_max,6.131522619940638e-07,tau,0.0,0.0
Ue,3.6,u2_max,6.131522619940638e-07,induced_tau,0.0,0.0
Ue,3.6,u2_max,6.131522619940638e-07,Bmeson,0.10676163744861505,0.035513639780286516
Ue,3.6,u2_max,6.131522619940638e-07,Bbaryon,0.0,0.0
Ue,3.6,u2_max,6.131522619940638e-07,Bc,0.0755248367959956,0.025122899128714234
Ue,3.6,u2_max,6.131522619940638e-07,WZ,2.823928549310312,0.9393634610909992
Umu,0.2,u2_min,4.13097333178006e-06,Kmeson,0.0,0.0
Umu,0.2,u2_min,4.13097333178006e-06,Dmeson,0.008858502481291,0.5827055781670619
Umu,0.2,u2_min,4.13097333178006e-06,tau,8.037127284632671e-07,5.286761403617768e-05
Umu,0.2,u2_min,4.13097333178006e-06,induced_tau,0.00021857422879643172,0.01437764708337959
Umu,0.2,u2_min,4.13097333178006e-06,Bmeson,0.00478386177480742,0.3146788012136126
Umu,0.2,u2_min,4.13097333178006e-06,Bbaryon,0.0013354069836320707,0.08784205909848701
Umu,0.2,u2_min,4.13097333178006e-06,Bc,3.754192529283064e-06,0.0002469479387680368
Umu,0.2,u2_min,4.13097333178006e-06,WZ,1.4609302537318733e-06,9.60988846546578e-05
Umu,0.2,peak_u2,0.1,Kmeson,0.0,0.0
Umu,0.2,peak_u2,0.1,Dmeson,4083668.3852994866,0.5542876515914217
Umu,0.2,peak_u2,0.1,tau,436.18307413757384,5.920434007275835e-05
Umu,0.2,peak_u2,0.1,induced_tau,107835.49358165657,0.014636811037533528
