mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
1.25,1199988,12832,True,3.074751913115745,1.6062213276022746e-08,1.439142216649457e-08,1.790352162369094e-08,False,False,54799.80736211704,2147.815895920538,0.0015138652789224716,50435.358795723514,1998.2841772806414,0.0017110411825314719,45334.77893746912,1822.1881521041335,0.001890052186455703,
1.26,1199988,12745,False,2.124189039566134,1.3033242773965784e-08,,,False,False,,,,51713.594794365614,2048.552428817706,0.0015340699953585964,,,,
1.27,1199988,12885,False,1.3206450637903295,1.0499168074988974e-08,,,False,False,,,,50963.51165964521,1974.829557516201,0.0017456310235410154,,,,
1.28,1199988,12833,False,0.8756949672248721,8.435171582389023e-09,,,False,False,,,,52873.34122881289,2054.6796668799066,0.0016204451319574709,,,,
1.29,1199988,12716,False,0.6272932703938514,7.180732266149432e-09,,,False,False,,,,53119.416505675224,2040.1249856577842,0.0016643246569953921,,,,
1.3,1199988,12855,False,0.5692191417441647,6.873334278926723e-09,,,False,False,,,,52049.4964579113,2022.683868636077,0.0017408124611795887,,,,
1.31,1199988,12555,False,0.6141224376431385,7.3101930393580535e-09,,,False,False,,,,49295.23527808666,1892.700960966443,0.001695172730433831,,,,
1.32,1199988,12880,False,0.7972989419744272,8.358327529273235e-09,,,False,False,,,,49681.93781882145,1931.6656344415574,0.0018073479255923985,,,,
1.33,1199988,12715,False,1.0477737130967564,9.500265828995122e-09,,,False,False,,,,49232.22245996904,1900.86438602678,0.0018071452124668202,,,,
1.34,1199988,12747,False,1.322493845065942,1.0449535095422649e-08,,,False,False,,,,50740.52505543864,1939.9012401551072,0.001760296754769417,,,,
1.35,1199988,12615,False,1.6423278650906905,1.1644697623632154e-08,,,False,False,,,,49840.08115900099,1977.6565477590148,0.0017841017990826212,,,,
1.36,1199988,12694,False,1.997789508825273,1.2963094748889364e-08,,,False,False,,,,48339.055617862745,1942.0173197510696,0.0017427810650604654,,,,
1.37,1199988,12676,False,2.3140757431829346,1.3831338270197963e-08,,,False,False,,,,48792.37368639167,1965.4155176251782,0.0019756332186806717,,,,
1.38,1199988,12642,False,2.6342661176130435,1.498529643583109e-08,,,False,False,,,,45421.74990097772,1875.1393645160465,0.0020087532609734857,,,,
1.39,1199988,12709,False,2.9650443548777408,1.5771838036839582e-08,,,False,False,,,,45303.227503093396,1898.5548765777062,0.0017862398706433432,,,,
1.4,1199988,12539,True,3.1881855117558406,1.633080661083283e-08,1.3739582716043418e-08,1.9328199431483285e-08,False,False,50113.207580278904,2152.9475635521817,0.001397004051602363,43775.59908636964,1904.5283322062521,0.0017995793052178642,36002.151061219876,1598.6892640436715,0.0025125117390367513,
1.41,1199988,12511,True,3.1616730539727107,1.6306348462227576e-08,1.3896745494418038e-08,1.9086163819244822e-08,False,False,44680.23048592102,2128.1341019725537,0.0020033935620819127,39814.92921885428,1907.533842470428,0.002256349664166447,33352.96069514234,1621.9075437799381,0.002371186741250419,
1.42,1199988,12636,False,2.7067245559874196,1.5378310347854604e-08,,,False,False,,,,29749.616896553085,1854.9341730074948,0.0025121573452314746,,,,
1.43,1199988,12510,False,1.7778285144276798,1.2218980913049734e-08,,,False,False,,,,22479.04762377654,1769.2457079251024,0.0024036473869415154,,,,
1.44,1199988,12738,False,1.1050621182050442,9.435738785999605e-09,,,False,False,,,,19620.818584730307,1846.7574106208067,0.0020521580738808976,,,,
1.45,1199988,12719,False,1.401168841287345,1.0741080357675465e-08,,,False,False,,,,19361.66598296312,1812.121104561251,0.0025130700838630502,,,,
1.46,1199988,12670,False,2.1793623273324068,1.3321718805736448e-08,,,False,False,,,,22384.033070403777,1819.5340866168885,0.0024784698358349695,,,,
1.47,1199988,12681,True,3.034478559714298,1.5589423761425406e-08,1.4486640091030545e-08,1.6765072975303912e-08,False,False,28705.230835003167,1999.4981316530736,0.001924110602963027,27158.30685830205,1897.4860720192748,0.0021199990682369916,25420.59761496345,1785.4412849145583,0.00231969144688439,
1.48,1199988,12807,True,3.745995131367646,1.7501909637281772e-08,1.2510807565237694e-08,2.4130080192493853e-08,False,False,35638.552450324445,2302.2683722871398,0.0015236434321387552,28486.0802415827,1881.8423489371933,0.0019869893115930398,18638.70500108026,1310.4283796233542,0.0029079702100459656,
1.49,1199988,12761,True,4.150303482438644,1.8567081553580884e-08,1.236391302595453e-08,2.7215754136192027e-08,False,False,38150.99461915536,2313.887623845685,0.0016537484763900936,30845.309814708267,1870.9168743125415,0.0018128295929240779,19384.723878821707,1215.0153982990596,0.003986624252818412,
1.5,1199988,12495,True,4.392856203378626,1.9471406574139833e-08,1.2430878289784455e-08,2.9788807511940325e-08,False,False,39698.15172125448,2291.8345643634643,0.0015968232370816634,31733.336882702155,1820.2464654515115,0.0018242465664623617,17679.545750532918,1095.2331692798512,0.004540083000769181,
1.51,1199988,12443,True,4.845809924614259,2.0397301356564135e-08,1.2349764565716875e-08,3.246449675390072e-08,False,False,41057.14601079501,2373.573401633156,0.0015775432168014087,31647.44098903359,1844.9368237984195,0.002205790336624418,17011.904916376883,1067.192768943712,0.004257803903906812,
1.52,1199988,12537,True,5.224743502835141,2.0915577732424404e-08,1.223005100870527e-08,3.481685072264758e-08,False,False,41788.96036756463,2365.3391403769506,0.0013715419104256752,33423.428516203385,1883.8145366967742,0.0016503980464023017,15634.941744727215,953.8118794320387,0.003941592478592966,
1.53,1199988,12706,True,5.729156645957105,2.175784149297849e-08,1.2159811640676966e-08,3.682804320568626e-08,False,False,41996.343946290006,2388.339127073734,0.0014242123658838144,33459.91097957682,1889.1703434426936,0.001871985131874058,17461.396223045995,1042.0517427929099,0.004022219899149553,
1.54,1199988,12374,True,5.626682808718573,2.1454062218131132e-08,1.2236364465928943e-08,3.6137583390734325e-08,False,False,41388.98017053543,2361.063508981517,0.0012489278587730634,34924.560840300415,1943.2955599394697,0.002020147101331811,17968.91323788993,1069.9404728478419,0.0038827321867841505,
1.55,1199988,12645,True,6.019966501500855,2.2655827112263645e-08,1.2288733841392812e-08,3.975434724085354e-08,False,False,42629.77026722671,2397.7950400086484,0.0015491960888905875,33630.77929075367,1867.3534722838754,0.0019127017402949967,15371.221710787306,931.5969396822042,0.005174550282570824,
1.56,1199988,12629,True,6.304203933734605,2.3145216785959128e-08,1.236322730019202e-08,4.092028791011509e-08,False,False,42312.88238127483,2374.616988495252,0.0014827974019459953,33474.96010638764,1829.0535431588253,0.0027397315378703507,15693.649264435275,919.677529911195,0.00491353372528945,
1.57,1199988,12633,True,6.405341638667585,2.3285155714139512e-08,1.2385154471463676e-08,4.1199935702609615e-08,False,False,40994.62277865566,2345.2281123379503,0.0012533802627797024,32441.18317351695,1804.5994284639773,0.002082598024304445,14175.194996877251,885.0827117160266,0.0063632586163748445,
